active_policy_name,after_object_position_live,budget_remaining_after_selection,budget_selection_reason,candidate_rank_by_ev,candidate_selected_by_budget,case_list_matched,case_list_source,case_list_source_row_idx,decision_confidence,decision_detections_considered,decision_matched_distance,decision_matches_oracle,decision_reason,decision_stale,expected_verification_value,found_position_after_revisit,memory_mutated,memory_new_position,memory_old_position,memory_update_action,memory_update_boundary,memory_update_candidate_location,memory_update_confidence,memory_update_instrumented,memory_update_old_location,memory_update_source,oracle_distance,oracle_reason,oracle_stale_label,p_stale_estimate,policy_reason,policy_should_verify,remembered_location,revisit_action,revisit_source,row_claim_boundary,row_idx,scene,seed,selection_policy_name,spawn_action,spawn_success,stale_action_cost,target,target_idx,target_object_id,target_visible_after_revisit_sweep,targeted_case_reason,teleport_success,true_location_offline,uncertainty_inputs,uncertainty_model_name,uncertainty_reason,verification_budget,verification_cost,verifier_name,verifier_used,visibility_error
expected_verification_value_v1,"{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}",3,selected_by_expected_verification_value_budget,1,True,False,,,1.0,1,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,,True,"{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}","{'x': -0.4651583731174469, 'y': 1.151225209236145, 'z': 0.4757627248764038}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,3.0429,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is only a shortcut to the remembered before-location; no TeleportObject; oracle metadata is offline labels only; not full navigation, manipulation, or task success",0,FloorPlan1,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,,True,FloorPlan1:Apple_34d5f204@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,4,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': -0.9508417844772339, 'y': 0.4736658036708832, 'z': 5.553867816925049}",1,selected_by_expected_verification_value_budget,3,True,False,,,1.0,36,0.1412,True,nearest_after_detection_normalized_frame_distance,True,0.77,,True,"{'x': -0.9508417844772339, 'y': 0.4736658036708832, 'z': 5.553867816925049}","{'x': -2.7592267990112305, 'y': 0.6819103360176086, 'z': 1.1773202419281006}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,live_controller_revisit_detector_verifier_evidence,4.7354,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is only a shortcut to the remembered before-location; no TeleportObject; oracle metadata is offline labels only; not full navigation, manipulation, or task success",1,FloorPlan201,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Newspaper,0,Newspaper|-02.76|+00.68|+01.18,False,,True,FloorPlan201:Newspaper_ed198726@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,4,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",2,selected_by_expected_verification_value_budget,2,True,False,,,1.0,1,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",True,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}","{'x': -0.46515920758247375, 'y': 1.151225209236145, 'z': 0.47576701641082764}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0.5469,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is only a shortcut to the remembered before-location; no TeleportObject; oracle metadata is offline labels only; not full navigation, manipulation, or task success",2,FloorPlan1,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,True,,True,FloorPlan1:Apple|-00.20|+01.16|00.00@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.5468619541808853, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,4,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -2.3260958194732666, 'y': 0.6103488206863403, 'z': 4.689019203186035}",0,selected_by_expected_verification_value_budget,4,True,False,,,1.0,36,0.1412,True,nearest_after_detection_normalized_frame_distance,True,0.77,,True,"{'x': -2.3260958194732666, 'y': 0.6103488206863403, 'z': 4.689019203186035}","{'x': -2.7592267990112305, 'y': 0.6819102764129639, 'z': 1.1773200035095215}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,live_controller_revisit_detector_verifier_evidence,3.5383,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is only a shortcut to the remembered before-location; no TeleportObject; oracle metadata is offline labels only; not full navigation, manipulation, or task success",3,FloorPlan201,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Newspaper,0,Newspaper|-02.76|+00.68|+01.18,False,,True,FloorPlan201:Newspaper_ed198726@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,4,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
